Body,Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16519327-11144523,-10661.62,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Parish & District Council costs,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,26-May-15,15477879-11239734,-10274.83,Browne Jacobson,Trade Supplier,Corporate Services,Liability,Insurance Fund Expenditure / Payments
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16519326-11144522,-9771.22,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Parish & District Council costs,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16519325-11144521,-7522.86,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Parish & District Council costs,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,19-May-15,17068674-11215000,-7296,East Cambridgeshire District Council,Other Public Bodies,LGSS Managed,Soham Library,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,06-May-15,16397379-11149417,-7020.11,Caretrust Cambridgeshire,Care Establishment,3 - Commissioning - Disabilities & Carers,Carers Grant (currently Promoting Indepe,Grants to Voluntary Bodies
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,06-May-15,16397380-11149418,-7020.11,Caretrust Cambridgeshire,Care Establishment,3 - Commissioning - Disabilities & Carers,Carers Grant (currently Promoting Indepe,Grants to Voluntary Bodies
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,20-May-15,16512433-11219430,-6503.94,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Parish & District Council costs,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,19-May-15,15172920-11218423,-6408,Care Afloat,Care Establishment,S&C,Placements - Social Care,Agency Placements - Out County
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,04-May-15,16519323-11144520,-5476.96,Southern Electric Plc,Trade Supplier,Assets & Commissioning,Parish & District Council costs,Street lighting Energy
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,06-May-15,16661087-11149485,-5405.85,Congregation Of The Daughters Of The Cross Of Liege (St Elizabeths Centre),Charity,S&C,Placements - Education,Independent School Placements
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009122-11204646,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009123-11204647,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009124-11204648,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009136-11204653,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009149-11204659,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009157-11204662,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009159-11204664,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009160-11204665,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009161-11204666,-5305.17,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012940-11205257,-5273.65,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012944-11205261,-5273.65,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012950-11205267,-5273.65,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009420-11207008,-5250,Redacted Personal Data,Individual,3 - Operations - Countywide Services,Countywide PD Service,Direct Payments - Social Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,5968851-11203854,-4864,Huntingdonshire District Council,Other Public Bodies,S&C,C3 - Northants CC catering provision,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009138-11204654,-4547.29,Alderwood Lla Ltd,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,01-May-15,16730726-11136306,-4530.55,G4s Secure Solutions (Uk) Ltd,Trade Supplier,LGSS Managed,Shire Hall Area,Security equipment
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012938-11205255,-4520.27,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,14-May-15,16951299-11194562,-4320,Fenland District Council,Other Public Bodies,S&C,Groomfields - March Depot,Business rates
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,16950683-11232250,-4031.52,Metropolitan Housing Trust Ltd,Trust (Other),4 - Commissioning - Mental Health & Supporting People,Cambridge Mental Health team,Supported Living
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009607-11204306,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009609-11204308,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009612-11204310,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009614-11204312,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009621-11204315,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009627-11204320,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009628-11204321,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009629-11204322,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009630-11204323,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009640-11204332,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012746-11204296,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012747-11204297,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012748-11204298,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012752-11204301,-3509.69,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17129304-11264728,-3447.66,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17129309-11264733,-3447.66,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17140238-11264857,-3447.66,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17132930-11230136,-3216.81,Fitzroy Support,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17132932-11230137,-3216.81,Fitzroy Support,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17132940-11230142,-3216.81,Fitzroy Support,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005620-11201574,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005622-11201576,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005623-11201577,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005624-11201578,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005629-11201583,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005630-11201584,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005631-11201585,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005637-11201591,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005640-11201594,-3111.72,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012111-11202480,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012114-11202483,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012116-11202485,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012120-11202489,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012121-11202490,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012123-11202492,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012126-11202495,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012127-11202496,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012131-11202500,-3063.09,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-May-15,16855522-11154630,-3048.34,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-May-15,16855523-11154631,-3048.34,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-May-15,16855524-11154632,-3048.34,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-May-15,16855525-11154633,-3048.34,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-May-15,16855526-11154634,-3048.34,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009632-11204325,-3008.31,Hesley Care Limited,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,18-May-15,16433768-11211173,-3000,Cambridgeshire And Peterborough Nhs Foundation Trust,Trust (Other),2 - Operations - Learning Disability,LDP Huntingdonshire Team,NI - Teachers
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17129299-11264723,-2955.14,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17262253-11253062,-2950.92,Redacted Personal Data,Individual,2 - Commissioning - Older people Pool,East Cambs - O P Team,Direct Payments - Social Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17129276-11264714,-2923.59,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17129277-11264715,-2923.59,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,28-May-15,17129281-11264719,-2923.59,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,SDS - Care and support Services
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009934-11205332,-2875.23,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009935-11205333,-2875.23,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009941-11205339,-2875.23,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,18-May-15,16540446-11213416,-2844.13,Guidant Group,Trade Supplier,CSC,"Hawthorns Adolescent, Cambridge",Pay - Agency Staff
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17132936-11230140,-2757.27,Fitzroy Support,Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17127169-11234071,-2691.52,Turning Point,Charity,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17138093-11234061,-2691.52,Turning Point,Charity,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17138099-11234062,-2691.52,Turning Point,Charity,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17144069-11234063,-2691.52,Turning Point,Charity,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17144070-11234064,-2691.52,Turning Point,Charity,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,21-May-15,17144071-11234065,-2691.52,Turning Point,Charity,2 - Operations - Learning Disability,LDP Fenland Team,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005636-11201590,-2667.19,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005375-11204789,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005376-11204790,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005384-11204798,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005385-11204799,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005387-11204801,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005388-11204802,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005391-11204805,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005393-11204807,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17005394-11204808,-2663.96,Conquest Care Homes Peterborough,Care Establishment,2 - Operations - Learning Disability,LDP Hunts special needs,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010026-11201607,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010029-11201609,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010032-11201612,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010034-11201614,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010035-11201615,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010040-11201620,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17010042-11201622,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012507-11201569,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012509-11201571,-2628.08,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17012113-11202482,-2625.51,Heathers (Jeesal Residential Care),Care Establishment,2 - Operations - Learning Disability,LDP Fenland Team,Residential Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,07-May-15,16855527-11154635,-2612.86,Decoy Farm,Care Establishment,2 - Operations - Learning Disability,LDP Huntingdonshire Team,Nursing Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009375-11205318,-2612.77,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009376-11205319,-2612.77,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,Day and Domicillary Care Independent Sector
http://statistics.data.gov.uk/id/local-authority/12,Cambridgeshire County Council,15-May-15,17009380-11205323,-2612.77,Affinity Trust,Care Establishment,2 - Operations - Learning Disability,LDP E Cambs & Fenland Special Needs,Day and Domicillary Care Independent Sector
